SERVER NAME;IP;PORT;VALUE;DATE
XHGIRD20;193.212.122.2;50000;85;2023-03-07 21:25:40.614
XHGIRD20;193.212.122.2;50000;88;2023-03-07 21:25:40.623
XHGIRD20;193.212.122.2;50000;47;2023-03-07 21:25:40.629
XHGIRD20;193.212.122.2;50000;13;2023-03-07 21:25:40.634
XHGIRD20;193.212.122.2;50000;54;2023-03-07 21:25:40.64
XHGIRD20;193.212.122.2;50000;4;2023-03-07 21:25:40.648
XHGIRD20;193.212.122.2;50000;34;2023-03-07 21:25:40.653
XHGIRD20;193.212.122.2;50000;6;2023-03-07 21:25:40.66
XHGIRD20;193.212.122.2;50000;78;2023-03-07 21:25:40.666
XHGIRD20;193.212.122.2;50000;48;2023-03-07 21:25:40.674
XHGIRD20;193.212.122.2;50000;69;2023-03-07 21:25:40.68
XHGIRD20;193.212.122.2;50000;73;2023-03-07 21:25:40.685
XHGIRD20;193.212.122.2;50000;17;2023-03-07 21:25:40.691
XHGIRD20;193.212.122.2;50010;34;2023-03-07 21:25:40.713
XHGIRD20;193.212.122.2;50010;62;2023-03-07 21:25:40.708
XHGIRD20;193.212.122.2;50010;63;2023-03-07 21:25:40.7
XHGIRD20;193.212.122.2;50010;92;2023-03-07 21:25:40.72
XHGIRD20;193.212.122.2;50010;62;2023-03-07 21:25:40.728
XHGIRD20;193.212.122.2;50010;96;2023-03-07 21:25:40.736
XHGIRD20;193.212.122.2;50010;89;2023-03-07 21:25:40.742
XHGIRD20;193.212.122.2;50010;76;2023-03-07 21:25:40.747
XHGIRD20;193.212.122.2;50010;32;2023-03-07 21:25:40.754
XHGIRD20;193.212.122.2;50010;10;2023-03-07 21:25:40.76
XHGIRD20;193.212.122.2;50010;99;2023-03-07 21:25:40.766
XHGIRD20;193.212.122.2;50010;74;2023-03-07 21:25:40.772
XHGIRD20;193.212.122.2;50010;59;2023-03-07 21:25:40.778
XHGIRD20;193.212.122.2;50010;98;2023-03-07 21:25:40.784
XHGIRD20;193.212.122.2;50010;53;2023-03-07 21:25:40.79
XHGIRD20;193.212.122.2;50010;37;2023-03-07 21:25:40.797
XHGIRD20;193.212.122.2;50010;2;2023-03-07 21:25:40.802
XHGIRD20;193.212.122.2;50010;5;2023-03-07 21:25:40.809
XHGIRD20;193.212.122.2;50010;54;2023-03-07 21:25:40.815
XHGIRD20;193.212.122.2;50010;0;2023-03-07 21:25:40.821
XHGIRD20;193.212.122.2;50010;6;2023-03-07 21:25:40.827
XHGIRD20;193.212.122.2;50010;63;2023-03-07 21:25:40.833
XHGIRD20;193.212.122.2;50010;55;2023-03-07 21:25:40.839
XHGIRD20;193.212.122.2;50010;89;2023-03-07 21:25:40.852
XHGIRD20;193.212.122.2;50010;20;2023-03-07 21:25:40.859
XHGIRD20;193.212.122.2;50010;75;2023-03-07 21:25:40.865
XHGIRD20;193.212.122.2;50010;34;2023-03-07 21:25:40.871
XHGIRD20;193.212.122.2;50010;15;2023-03-07 21:25:40.878
XHGIRD20;193.212.122.2;50010;60;2023-03-07 21:25:40.884
XHGIRD20;193.212.122.2;50010;77;2023-03-07 21:25:40.891
XHGIRD20;193.212.122.2;50010;37;2023-03-07 21:25:40.898
XHGIRD20;193.212.122.2;50010;77;2023-03-07 21:25:40.904
XHGIRD20;193.212.122.2;50010;92;2023-03-07 21:25:40.91
XHGIRD20;193.212.122.2;50010;20;2023-03-07 21:25:40.916
XHGIRD20;193.212.122.2;50010;88;2023-03-07 21:25:40.922
XHGIRD20;193.212.122.2;50010;0;2023-03-07 21:25:40.928
XHGIRD20;193.212.122.2;50010;57;2023-03-07 21:25:40.934
XHGIRD20;193.212.122.2;50010;52;2023-03-07 21:25:40.939
XHGIRD20;193.212.122.2;50010;33;2023-03-07 21:25:40.945
XHGIRD20;193.212.122.2;50010;76;2023-03-07 21:25:40.951
XHGIRD20;193.212.122.2;50010;55;2023-03-07 21:25:40.957
XHGIRD20;193.212.122.2;50010;36;2023-03-07 21:25:40.963
XHGIRD20;193.212.122.2;50010;45;2023-03-07 21:25:40.969
XHGIRD20;193.212.122.2;50010;58;2023-03-07 21:25:40.976
XHGIRD20;193.212.122.2;50010;29;2023-03-07 21:25:40.982
XHGIRD20;193.212.122.2;50010;4;2023-03-07 21:25:40.988
XHGIRD20;193.212.122.2;50010;84;2023-03-07 21:25:40.994
XHGIRD20;193.212.122.2;50010;0;2023-03-07 21:25:40.999
XHGIRD20;193.212.122.2;50010;51;2023-03-07 21:25:41.005
XHGIRD20;193.212.122.2;50010;86;2023-03-07 21:25:41.011
XHGIRD20;193.212.122.2;50010;83;2023-03-07 21:25:41.018
XHGIRD20;193.212.122.2;50010;98;2023-03-07 21:25:41.025
XHGIRD20;193.212.122.2;50010;96;2023-03-07 21:25:41.031
XHGIRD20;193.212.122.2;50010;8;2023-03-07 21:25:41.037
XHGIRD20;193.212.122.2;50010;14;2023-03-07 21:25:41.044
XHGIRD20;193.212.122.2;50010;65;2023-03-07 21:25:41.054
XHGIRD20;193.212.122.2;50010;28;2023-03-07 21:25:41.06
XHGIRD20;193.212.122.2;50010;59;2023-03-07 21:25:41.066
XHGIRD20;193.212.122.2;50010;16;2023-03-07 21:25:41.073
XHGIRD20;193.212.122.2;50010;15;2023-03-07 21:25:41.079
XHGIRD20;193.212.122.2;50010;58;2023-03-07 21:25:41.084
XHGIRD20;193.212.122.2;50010;22;2023-03-07 21:25:41.091
XHGIRD20;193.212.122.2;50010;87;2023-03-07 21:25:41.097
XHGIRD20;193.212.122.2;50010;92;2023-03-07 21:25:41.102
XHGIRD20;193.212.122.2;50010;31;2023-03-07 21:25:41.11
XHGIRD20;193.212.122.2;50010;1;2023-03-07 21:25:41.116
XHGIRD20;193.212.122.2;50010;97;2023-03-07 21:25:41.122
XHGIRD20;193.212.122.2;50010;88;2023-03-07 21:25:41.128
XHGIRD20;193.212.122.2;50010;62;2023-03-07 21:25:41.134
XHGIRD20;193.212.122.2;50010;41;2023-03-07 21:25:41.141
XHGIRD20;193.212.122.2;50010;8;2023-03-07 21:25:41.147
XHGIRD20;193.212.122.2;50010;85;2023-03-07 21:25:41.154
XHGIRD20;193.212.122.2;50010;69;2023-03-07 21:25:41.161
XHGIRD20;193.212.122.2;50010;79;2023-03-07 21:25:41.167
XHGIRD20;193.212.122.2;50010;95;2023-03-07 21:25:41.173
XHGIRD20;193.212.122.2;50010;59;2023-03-07 21:25:41.181
XHGIRD20;193.212.122.2;50010;10;2023-03-07 21:25:41.186
XHGIRD20;193.212.122.2;50010;17;2023-03-07 21:25:41.194
XHGIRD20;193.212.122.2;50010;26;2023-03-07 21:25:41.201
XHGIRD20;193.212.122.2;50010;74;2023-03-07 21:25:41.207
XHGIRD20;193.212.122.2;50010;20;2023-03-07 21:25:41.212
XHGIRD20;193.212.122.2;50010;53;2023-03-07 21:25:41.218
XHGIRD20;193.212.122.2;50010;25;2023-03-07 21:25:41.224
XHGIRD20;193.212.122.2;50010;1;2023-03-07 21:25:41.23
XHGIRD20;193.212.122.2;50010;1;2023-03-07 21:25:41.235
XHGIRD20;193.212.122.2;50010;36;2023-03-07 21:25:41.241
XHGIRD20;193.212.122.2;50010;50;2023-03-07 21:25:41.247
XHGIRD20;193.212.122.2;50010;74;2023-03-07 21:25:41.254
XHGIRD20;193.212.122.2;50010;32;2023-03-07 21:25:41.26
XHGIRD20;193.212.122.2;50010;94;2023-03-07 21:25:41.266
XHGIRD20;193.212.122.2;50010;75;2023-03-07 21:25:41.272
XHGIRD20;193.212.122.2;50010;8;2023-03-07 21:25:41.292
XHGIRD20;193.212.122.2;50010;24;2023-03-07 21:25:41.286
XHGIRD20;193.212.122.2;50010;94;2023-03-07 21:25:41.28
XHGIRD20;193.212.122.2;50010;43;2023-03-07 21:25:41.299
XHGIRD20;193.212.122.2;50010;3;2023-03-07 21:25:41.305
XHGIRD20;193.212.122.2;50010;47;2023-03-07 21:25:41.311
XHGIRD20;193.212.122.2;50010;67;2023-03-07 21:25:41.318
XHGIRD20;193.212.122.2;50010;80;2023-03-07 21:25:41.323
XHGIRD20;193.212.122.2;50010;51;2023-03-07 21:25:41.331
XHGIRD20;193.212.122.2;50010;33;2023-03-07 21:25:41.337
XHGIRD20;193.212.122.2;50010;57;2023-03-07 21:25:41.345
XHGIRD20;193.212.122.2;50010;66;2023-03-07 21:25:41.352
XHGIRD20;193.212.122.2;50010;77;2023-03-07 21:25:41.358
XHGIRD20;193.212.122.2;50010;45;2023-03-07 21:25:41.366
XHGIRD20;193.212.122.2;50010;50;2023-03-07 21:25:41.374
XHGIRD20;193.212.122.2;50010;69;2023-03-07 21:25:41.382
XHGIRD20;193.212.122.2;50010;8;2023-03-07 21:25:41.387
XHGIRD20;193.212.122.2;50010;3;2023-03-07 21:25:41.393
XHGIRD20;193.212.122.2;50010;90;2023-03-07 21:25:41.399
XHGIRD20;193.212.122.2;50010;76;2023-03-07 21:25:41.404
XHGIRD20;193.212.122.2;50010;16;2023-03-07 21:25:41.41
XHGIRD20;193.212.122.2;50010;96;2023-03-07 21:25:41.417
XHGIRD20;193.212.122.2;50010;21;2023-03-07 21:25:41.423
XHGIRD20;193.212.122.2;50010;99;2023-03-07 21:25:41.429
XHGIRD20;193.212.122.2;50010;34;2023-03-07 21:25:41.435
XHGIRD20;193.212.122.2;50010;19;2023-03-07 21:25:41.441
XHGIRD20;193.212.122.2;50010;28;2023-03-07 21:25:41.447
XHGIRD20;193.212.122.2;50010;71;2023-03-07 21:25:41.453
XHGIRD20;193.212.122.2;50010;50;2023-03-07 21:25:41.46
XHGIRD20;193.212.122.2;50010;5;2023-03-07 21:25:41.466
XHGIRD20;193.212.122.2;50010;95;2023-03-07 21:25:41.472
XHGIRD20;193.212.122.2;50010;56;2023-03-07 21:25:41.478
XHGIRD20;193.212.122.2;50010;64;2023-03-07 21:25:41.485
XHGIRD20;193.212.122.2;50010;91;2023-03-07 21:25:41.491
XHGIRD20;193.212.122.2;50010;16;2023-03-07 21:25:41.498
XHGIRD20;193.212.122.2;50010;36;2023-03-07 21:25:41.505
XHGIRD20;193.212.122.2;50010;88;2023-03-07 21:25:41.511
XHGIRD20;193.212.122.2;50010;28;2023-03-07 21:25:41.517
XHGIRD20;193.212.122.2;50010;11;2023-03-07 21:25:41.524
XHGIRD20;193.212.122.2;50010;62;2023-03-07 21:25:41.53
XHGIRD20;193.212.122.2;50010;63;2023-03-07 21:25:41.537
XHGIRD20;193.212.122.2;50010;90;2023-03-07 21:25:41.543
XHGIRD20;193.212.122.2;50010;79;2023-03-07 21:25:41.549
XHGIRD20;193.212.122.2;50010;95;2023-03-07 21:25:41.556
XHGIRD20;193.212.122.2;50010;92;2023-03-07 21:25:41.562
XHGIRD20;193.212.122.2;50010;63;2023-03-07 21:25:41.568
XHGIRD20;193.212.122.2;50010;94;2023-03-07 21:25:41.574
XHGIRD20;193.212.122.2;50010;42;2023-03-07 21:25:41.58
XHGIRD20;193.212.122.2;50010;23;2023-03-07 21:25:41.588
XHGIRD20;193.212.122.2;50010;97;2023-03-07 21:25:41.594
XHGIRD20;193.212.122.2;50010;1;2023-03-07 21:25:41.601
XHGIRD20;193.212.122.2;50010;75;2023-03-07 21:25:41.607
XHGIRD20;193.212.122.2;50010;57;2023-03-07 21:25:41.613
XHGIRD20;193.212.122.2;50010;64;2023-03-07 21:25:41.619
XHGIRD20;193.212.122.2;50010;7;2023-03-07 21:25:41.625
XHGIRD20;193.212.122.2;50010;57;2023-03-07 21:25:41.633
XHGIRD20;193.212.122.2;50010;49;2023-03-07 21:25:41.641
XHGIRD20;193.212.122.2;50010;56;2023-03-07 21:25:41.648
XHGIRD20;193.212.122.2;50010;57;2023-03-07 21:25:41.654
XHGIRD20;193.212.122.2;50010;49;2023-03-07 21:25:41.661
XHGIRD20;193.212.122.2;50010;83;2023-03-07 21:25:41.667
XHGIRD20;193.212.122.2;50010;46;2023-03-07 21:25:41.673
XHGIRD20;193.212.122.2;50010;91;2023-03-07 21:25:41.679
XHGIRD20;193.212.122.2;50010;46;2023-03-07 21:25:41.685
XHGIRD20;193.212.122.2;50010;88;2023-03-07 21:25:41.692
XHGIRD20;193.212.122.2;50010;35;2023-03-07 21:25:41.698
XHGIRD20;193.212.122.2;50010;77;2023-03-07 21:25:41.704
XHGIRD20;193.212.122.2;50010;8;2023-03-07 21:25:41.71
XHGIRD20;193.212.122.2;50010;42;2023-03-07 21:25:41.717
XHGIRD20;193.212.122.2;50010;35;2023-03-07 21:25:41.723
XHGIRD20;193.212.122.2;50010;96;2023-03-07 21:25:41.729
XHGIRD20;193.212.122.2;50010;70;2023-03-07 21:25:41.735
XHGIRD20;193.212.122.2;50010;70;2023-03-07 21:25:41.743
XHGIRD20;193.212.122.2;50010;29;2023-03-07 21:25:41.749
XHGIRD20;193.212.122.2;50010;95;2023-03-07 21:25:41.755
XHGIRD20;193.212.122.2;50010;8;2023-03-07 21:25:41.762
XHGIRD20;193.212.122.2;50010;40;2023-03-07 21:25:41.768
XHGIRD20;193.212.122.2;50010;40;2023-03-07 21:25:41.775
XHGIRD20;193.212.122.2;50010;35;2023-03-07 21:25:41.782
XHGIRD20;193.212.122.2;50010;6;2023-03-07 21:25:41.79
XHGIRD20;193.212.122.2;50010;98;2023-03-07 21:25:41.796
XHGIRD20;193.212.122.2;50010;87;2023-03-07 21:25:41.801
XHGIRD20;193.212.122.2;50010;28;2023-03-07 21:25:41.807
XHGIRD20;193.212.122.2;50010;9;2023-03-07 21:25:41.814
XHGIRD20;193.212.122.2;50010;2;2023-03-07 21:25:41.822
XHGIRD20;193.212.122.2;50010;99;2023-03-07 21:25:41.828
XHGIRD20;193.212.122.2;50010;91;2023-03-07 21:25:41.833
XHGIRD20;193.212.122.2;50010;60;2023-03-07 21:25:41.839
XHGIRD20;193.212.122.2;50010;38;2023-03-07 21:25:41.845
XHGIRD20;193.212.122.2;50010;33;2023-03-07 21:25:41.851
XHGIRD20;193.212.122.2;50010;5;2023-03-07 21:25:41.859
XHGIRD20;193.212.122.2;50010;32;2023-03-07 21:25:41.865
XHGIRD20;193.212.122.2;50010;81;2023-03-07 21:25:41.872
XHGIRD20;193.212.122.2;50010;15;2023-03-07 21:25:41.879
XHGIRD20;193.212.122.2;50010;9;2023-03-07 21:25:41.885
XHGIRD20;193.212.122.2;50010;66;2023-03-07 21:25:41.891
XHGIRD20;193.212.122.2;50010;96;2023-03-07 21:25:41.897
XHGIRD20;193.212.122.2;50010;7;2023-03-07 21:25:41.903
XHGIRD20;193.212.122.2;50010;83;2023-03-07 21:25:41.909
XHGIRD20;193.212.122.2;50010;38;2023-03-07 21:25:41.915
XHGIRD20;193.212.122.2;50010;2;2023-03-07 21:25:41.921
XHGIRD20;193.212.122.2;50010;67;2023-03-07 21:25:41.926
XHGIRD20;193.212.122.2;50010;32;2023-03-07 21:25:41.932
XHGIRD20;193.212.122.2;50010;17;2023-03-07 21:25:41.939
XHGIRD20;193.212.122.2;50010;18;2023-03-07 21:25:41.945
XHGIRD20;193.212.122.2;50010;45;2023-03-07 21:25:41.951
XHGIRD20;193.212.122.2;50010;94;2023-03-07 21:25:41.958
XHGIRD20;193.212.122.2;50010;91;2023-03-07 21:25:41.964
XHGIRD20;193.212.122.2;50010;36;2023-03-07 21:25:41.97
